v8-version,8,4,371,23,-node.84,0
shared-library,/home/ccinetto/.nvm/versions/node/v14.18.1/bin/node,0x400000,0x42d9000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc-2.31.so,0x7f6e16cb1000,0x7f6e16e4e000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,0x7f6e16ea3000,0x7f6e16ebb000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f6e16ec6000,0x7f6e16edb000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm-2.31.so,0x7f6e16ee1000,0x7f6e16f97000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,0x7f6e17030000,0x7f6e171b7000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl-2.31.so,0x7f6e17212000,0x7f6e17215000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-2.31.so,0x7f6e1722e000,0x7f6e17252000,0
shared-library,[vdso],0x7ffe2ffb7000,0x7ffe2ffb9000,0
profiler,begin,1000
tick,0x7f6e170cc830,698,0,0x0,6
tick,0xfaba28,1711,0,0x0,6
code-creation,Builtin,3,2351,0x13d64a0,1632,RecordWrite
code-creation,Builtin,3,2365,0x13d6b20,424,EphemeronKeyBarrier
code-creation,Builtin,3,2372,0x13d6ce0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2378,0x13d6d20,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2385,0x13d6e60,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2394,0x13d6f40,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2402,0x13d7060,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2409,0x13d71a0,127,CallBoundFunction
code-creation,Builtin,3,2415,0x13d7220,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2423,0x13d72a0,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2431,0x13d7320,109,Call_ReceiverIsAny
code-creation,Builtin,3,2438,0x13d73a0,866,CallProxy
code-creation,Builtin,3,2445,0x13d7720,75,CallVarargs
code-creation,Builtin,3,2450,0x13d7780,1056,CallWithSpread
code-creation,Builtin,3,2456,0x13d7bc0,926,CallWithArrayLike
code-creation,Builtin,3,2461,0x13d7f60,100,CallForwardVarargs
code-creation,Builtin,3,2468,0x13d7fe0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,2477,0x13d8060,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2483,0x13d8100,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2490,0x13d8200,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2496,0x13d8360,26,ConstructFunction
code-creation,Builtin,3,2500,0x13d8380,127,ConstructBoundFunction
code-creation,Builtin,3,2506,0x13d8400,28,ConstructedNonConstructable
code-creation,Builtin,3,2511,0x13d8420,90,Construct
code-creation,Builtin,3,2515,0x13d8480,75,ConstructVarargs
code-creation,Builtin,3,2520,0x13d84e0,1084,ConstructWithSpread
code-creation,Builtin,3,2524,0x13d8920,1000,ConstructWithArrayLike
code-creation,Builtin,3,2529,0x13d8d20,139,ConstructForwardVarargs
code-creation,Builtin,3,2534,0x13d8dc0,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2539,0x13d8e60,328,JSConstructStubGeneric
code-creation,Builtin,3,2543,0x13d8fc0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,2548,0x13d90c0,735,FastNewObject
code-creation,Builtin,3,2552,0x13d93a0,305,FastNewClosure
code-creation,Builtin,3,2556,0x13d94e0,209,FastNewFunctionContextEval
code-creation,Builtin,3,2562,0x13d95c0,209,FastNewFunctionContextFunction
code-creation,Builtin,3,2567,0x13d96a0,238,CreateRegExpLiteral
code-creation,Builtin,3,2571,0x13d97a0,554,CreateEmptyArrayLiteral
code-creation,Builtin,3,2576,0x13d99e0,1140,CreateShallowArrayLiteral
code-creation,Builtin,3,2581,0x13d9e60,1856,CreateShallowObjectLiteral
code-creation,Builtin,3,2586,0x13da5c0,854,ConstructProxy
code-creation,Builtin,3,2590,0x13da920,188,JSEntry
code-creation,Builtin,3,2595,0x13da9e0,188,JSConstructEntry
code-creation,Builtin,3,2600,0x13daaa0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,2605,0x13dab60,95,JSEntryTrampoline
code-creation,Builtin,3,2610,0x13dabc0,95,JSConstructEntryTrampoline
code-creation,Builtin,3,2615,0x13dac20,307,ResumeGeneratorTrampoline
code-creation,Builtin,3,2619,0x13dad60,1112,StringCodePointAt
code-creation,Builtin,3,2625,0x13db1c0,1615,StringFromCodePointAt
code-creation,Builtin,3,2629,0x13db820,552,StringEqual
code-creation,Builtin,3,2642,0x13dba60,284,StringGreaterThan
code-creation,Builtin,3,2647,0x13dbb80,284,StringGreaterThanOrEqual
code-creation,Builtin,3,2651,0x13dbca0,1077,StringIndexOf
code-creation,Builtin,3,2655,0x13dc0e0,284,StringLessThan
code-creation,Builtin,3,2659,0x13dc200,284,StringLessThanOrEqual
code-creation,Builtin,3,2664,0x13dc320,2627,StringSubstring
code-creation,Builtin,3,2668,0x13dcd80,92,OrderedHashTableHealIndex
code-creation,Builtin,3,2674,0x13dcde0,920,InterpreterEntryTrampoline
code-creation,Builtin,3,2679,0x13dd180,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,2683,0x13dd1e0,83,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2689,0x13dd240,80,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2694,0x13dd2a0,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2699,0x13dd300,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2704,0x13dd360,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2711,0x13dd3c0,216,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2718,0x13dd4a0,81,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2724,0x13dd500,51,InterpreterOnStackReplacement
code-creation,Builtin,3,2730,0x13dd540,1061,CompileLazy
code-creation,Builtin,3,2734,0x13dd980,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2740,0x13dd9e0,245,InstantiateAsmJs
code-creation,Builtin,3,2744,0x13ddae0,32,NotifyDeoptimized
code-creation,Builtin,3,2749,0x13ddb20,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2753,0x13ddb60,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2758,0x13ddba0,56,ContinueToJavaScriptBuiltin
